Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.27     0.00     3522     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::lower_bound(unsigned long long const&)
  0.00      0.27     0.00     3522     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::lower_bound(unsigned long long const&)
  0.00      0.27     0.00     3522     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >*, std::_Rb_tree_node<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >*, unsigned long long const&)
  0.00      0.27     0.00     3515     0.00     0.00  std::map<unsigned long long, std::pair<std::shared_ptr<Node>, int>, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::key_comp() const
  0.00      0.27     0.00     3515     0.00     0.00  std::_Rb_tree<unsigned long long, std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> >, std::_Select1st<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > >, std::less<unsigned long long>, std::allocator<std::pair<unsigned long long const, std::pair<std::shared_ptr<Node>, int> > > >::key_comp() const
  0.00      0.27     0.00     3320     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned long long, int>*, std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > > >::__normal_iterator(std::pair<unsigned long long, int>* const&)
  0.00      0.27     0.00     3282     0.00     0.00  std::_Vector_base<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > >::_M_get_Tp_allocator()
  0.00      0.27     0.00     2978     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      0.27     0.00     2539     0.00     0.00  std::pair<std::shared_ptr<Node>, int>::~pair()
  0.00      0.27     0.00     2509     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<unsigned long long, int>*, std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > > >(__gnu_cxx::__normal_iterator<std::pair<unsigned long long, int>*, std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<unsigned long long, int>*, std::vector<std::pair<unsigned long long, int>, std::allocator<std::pair<unsigned long long, int> > > > const&)
